iter,loss,acc_seg,lr
30350,0.0948,94.0892,4.9079e-05
30400,0.1524,96.1018,4.906e-05
30450,0.1565,88.3052,4.9041e-05
30500,0.1301,96.1095,4.9022e-05
30550,0.1814,98.4179,4.9003e-05
30600,0.149,95.7356,4.8985e-05
30650,0.0804,96.2407,4.8966e-05
30700,0.1465,86.1956,4.8947e-05
30750,0.2476,97.0127,4.8928e-05
30800,0.1794,92.4896,4.8909e-05
30850,0.1224,92.3794,4.889e-05
30900,0.1334,94.692,4.8871e-05
30950,0.1302,95.7681,4.8852e-05
31000,0.1796,97.8825,4.8833e-05
31050,0.234,90.768,4.8814e-05
31100,0.1062,95.312,4.8795e-05
31150,0.1723,96.0444,4.8776e-05
31200,0.1168,96.8968,4.8757e-05
31250,0.123,93.7698,4.8738e-05
31300,0.2008,92.6106,4.872e-05
31350,0.1005,98.8923,4.8701e-05
31400,0.1141,98.7727,4.8682e-05
31450,0.1185,97.1851,4.8663e-05
31500,0.1616,97.7452,4.8644e-05
31550,0.1097,94.5347,4.8625e-05
31600,0.1501,88.3516,4.8606e-05
31650,0.1418,90.6047,4.8587e-05
31700,0.2027,83.01,4.8568e-05
31750,0.1229,95.2525,4.8549e-05
31800,0.1147,95.7799,4.853e-05
31850,0.1858,93.772,4.8511e-05
31900,0.1797,95.0935,4.8492e-05
31950,0.2279,91.9395,4.8473e-05
32000,0.136,96.4739,4.8455e-05
32050,0.1486,85.2166,4.8436e-05
32100,0.1344,92.409,4.8417e-05
32150,0.2047,96.3673,4.8398e-05
32200,0.1305,96.8288,4.8379e-05
32250,0.0888,97.2655,4.836e-05
32300,0.1612,81.4352,4.8341e-05
32350,0.1022,96.5232,4.8322e-05
32400,0.2107,94.6672,4.8303e-05
32450,0.1539,96.4199,4.8284e-05
32500,0.1308,95.5551,4.8265e-05
32550,0.2146,85.9474,4.8246e-05
32600,0.1232,95.5108,4.8227e-05
32650,0.2463,94.8802,4.8209e-05
32700,0.1299,96.754,4.819e-05
32750,0.1322,96.2933,4.8171e-05
32800,0.1211,94.1334,4.8152e-05
32850,0.1562,93.2269,4.8133e-05
32900,0.1688,94.7202,4.8114e-05
32950,0.0785,97.114,4.8095e-05
33000,0.1008,95.3454,4.8076e-05
33050,0.1731,90.3901,4.8057e-05
33100,0.1303,96.9678,4.8038e-05
33150,0.1192,91.2239,4.8019e-05
33200,0.1384,96.7044,4.8e-05
33250,0.1705,93.4976,4.7981e-05
33300,0.1334,92.0367,4.7962e-05
33350,0.1291,96.8148,4.7944e-05
33400,0.1002,97.9656,4.7925e-05
33450,0.1812,94.3719,4.7906e-05
33500,0.1489,95.6463,4.7887e-05
33550,0.1558,97.0193,4.7868e-05
33600,0.2421,77.7664,4.7849e-05
